date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:14	900/900	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2ce600296e8f878286d89ca449f1737%22	https://static.gitbook.com/_next/static/chunks/app/middleware/(site)/error-65ecdd77cfe24742.js	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/chunks/app/middleware/(site)/error-65ecdd77cfe24742.js	(from https://docs.goodcrypto.app/)
17:00:14	116390/116390	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a26a1f1f5ccf3e2511bc4ac8fdff053e%22	https://static.gitbook.com/_next/static/chunks/7144-49a5d70277f4d306.js	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/chunks/7144-49a5d70277f4d306.js	(from https://docs.goodcrypto.app/)
17:00:15	52008/52008	---MCZ	200	added ('OK')	application/javascript	etag:W/%228af4103c5611c26c1b249bf06f06b99e%22	https://static.gitbook.com/_next/static/chunks/app/middleware/(site)/(content)/layout-bce6efe4a9dc0d17.js	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/chunks/app/middleware/(site)/(content)/layout-bce6efe4a9dc0d17.js	(from https://docs.goodcrypto.app/)
17:00:15	2341/2341	---M-Z	200	added ('OK')	application/javascript	etag:W/%22925-4II3tCpe9fDfOOezEmhU3PnG1JY%22	https://integrations.gitbook.com/v1/integrations/googleanalytics/installations/005aad6717939365741721f872f56a49a3ad282059bfba1b219649a79d02b355/sites/site_u06EB/script.js?version=150.0	C:/My%20Web%20Sites/X1/integrations.gitbook.com/v1/integrations/googleanalytics/installations/005aad6717939365741721f872f56a49a3ad282059bfba1b219649a79d02b355/sites/site_u06EB/script2641.js	(from https://docs.goodcrypto.app/)
17:00:15	2446/2446	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2013:36:41%20GMT	https://docs.goodcrypto.app/~gitbook/image?url=https%3A%2F%2F3159525366-files.gitbook.io%2F%7E%2Ffiles%2Fv0%2Fb%2Fgitbook-x-prod.appspot.com%2Fo%2Fspaces%252FrFKhEXxJL95YqC19XHlF%252Ficon%252FivNKPSZYy99y3GuCX0Vy%252Fgcx_avatar.png%3Falt%3Dmedia%26token%3D84bc6716-621f-48f5-b9af-860f5f6ee720&width=48&height=48&sign=d89aa518&sv=2	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/_gitbook/imageb5c9.jpg	(from https://docs.goodcrypto.app/)
17:00:15	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffcb815f2cb3d53f8f0cd145af8e6864%22	https://static.gitbook.com/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/My%20Web%20Sites/X1/static.gitbook.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://docs.goodcrypto.app/)
17:00:16	3691/3691	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Feb%202024%2013:36:41%20GMT	https://docs.goodcrypto.app/~gitbook/image?url=https%3A%2F%2F3159525366-files.gitbook.io%2F%7E%2Ffiles%2Fv0%2Fb%2Fgitbook-x-prod.appspot.com%2Fo%2Fspaces%252FrFKhEXxJL95YqC19XHlF%252Ficon%252FivNKPSZYy99y3GuCX0Vy%252Fgcx_avatar.png%3Falt%3Dmedia%26token%3D84bc6716-621f-48f5-b9af-860f5f6ee720&width=32&dpr=4&quality=100&sign=d89aa518&sv=2	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/_gitbook/image9f63.jpg	(from https://docs.goodcrypto.app/)
17:00:17	277302/277302	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:15%20GMT	https://docs.goodcrypto.app/goodcrypto-vs-goodcryptox	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/goodcrypto-vs-goodcryptox.html	(from https://docs.goodcrypto.app/)
17:00:18	240301/240301	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:16%20GMT	https://docs.goodcrypto.app/app-platforms	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/app-platforms.html	(from https://docs.goodcrypto.app/)
17:00:18	216737/216737	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:16%20GMT	https://docs.goodcrypto.app/supported-blockchains	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/supported-blockchains.html	(from https://docs.goodcrypto.app/)
17:00:19	217458/217458	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:16%20GMT	https://docs.goodcrypto.app/supported-dexs	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/supported-dexs.html	(from https://docs.goodcrypto.app/)
17:00:19	234374/234374	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:18%20GMT	https://docs.goodcrypto.app/wallet/wallet-management	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management.html	(from https://docs.goodcrypto.app/)
17:00:20	339287/339287	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:18%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/create-wallet	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/create-wallet.html	(from https://docs.goodcrypto.app/)
17:00:21	263914/263914	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:19%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/receive-coins	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/receive-coins.html	(from https://docs.goodcrypto.app/)
17:00:21	283420/283420	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:19%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/buy-coins-with	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/buy-coins-with.html	(from https://docs.goodcrypto.app/)
17:00:22	344295/344295	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:20%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/send-coins	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/send-coins.html	(from https://docs.goodcrypto.app/)
17:00:23	414571/414571	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:20%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/wallet-password	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/wallet-password.html	(from https://docs.goodcrypto.app/)
17:00:23	233544/233544	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:21%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/2nd-device-access	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/2nd-device-access.html	(from https://docs.goodcrypto.app/)
17:00:24	218156/218156	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:22%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/gas	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/gas.html	(from https://docs.goodcrypto.app/)
17:00:24	218353/218353	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:23%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/non-custodial-wallet	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/non-custodial-wallet.html	(from https://docs.goodcrypto.app/)
17:00:25	218135/218135	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:23%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/wallet-security	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/wallet-security.html	(from https://docs.goodcrypto.app/)
17:00:25	313445/313445	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:24%20GMT	https://docs.goodcrypto.app/wallet/wallet-management/wallet-architecture	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/wallet-management/wallet-architecture.html	(from https://docs.goodcrypto.app/)
17:00:26	216376/216376	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:24%20GMT	https://docs.goodcrypto.app/wallet/smart-contract-wallets	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/smart-contract-wallets.html	(from https://docs.goodcrypto.app/)
17:00:26	218341/218341	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:25%20GMT	https://docs.goodcrypto.app/wallet/smart-contract-wallets/session-keys	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/smart-contract-wallets/session-keys.html	(from https://docs.goodcrypto.app/)
17:00:27	218459/218459	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:25%20GMT	https://docs.goodcrypto.app/wallet/smart-contract-wallets/batch-transactions	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/smart-contract-wallets/batch-transactions.html	(from https://docs.goodcrypto.app/)
17:00:27	218559/218559	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:26%20GMT	https://docs.goodcrypto.app/wallet/smart-contract-wallets/gas-in-any-erc20-token	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/smart-contract-wallets/gas-in-any-erc20-token.html	(from https://docs.goodcrypto.app/)
17:00:28	218523/218523	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:26%20GMT	https://docs.goodcrypto.app/wallet/smart-contract-wallets/decoding-scw-transactions	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/wallet/smart-contract-wallets/decoding-scw-transactions.html	(from https://docs.goodcrypto.app/)
17:00:29	267208/267208	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:27%20GMT	https://docs.goodcrypto.app/trading/order-types	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types.html	(from https://docs.goodcrypto.app/)
17:00:32	415429/415429	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:29%20GMT	https://docs.goodcrypto.app/trading/order-types/swap	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/swap.html	(from https://docs.goodcrypto.app/)
17:00:33	392561/392561	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:30%20GMT	https://docs.goodcrypto.app/trading/order-types/limit	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/limit.html	(from https://docs.goodcrypto.app/)
17:00:34	334084/334084	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:31%20GMT	https://docs.goodcrypto.app/trading/order-types/take-profit	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/take-profit.html	(from https://docs.goodcrypto.app/)
17:00:35	455516/455516	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:30%20GMT	https://docs.goodcrypto.app/trading/order-types/trailing	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/trailing.html	(from https://docs.goodcrypto.app/)
17:00:36	334448/334448	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:32%20GMT	https://docs.goodcrypto.app/trading/order-types/stop-loss	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/stop-loss.html	(from https://docs.goodcrypto.app/)
17:00:36	218178/218178	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:34%20GMT	https://docs.goodcrypto.app/trading/order-types/tp-+-sl-combo	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/tp-+-sl-combo.html	(from https://docs.goodcrypto.app/)
17:00:37	218264/218264	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:33%20GMT	https://docs.goodcrypto.app/trading/order-types/trailing-stop-loss	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-types/trailing-stop-loss.html	(from https://docs.goodcrypto.app/)
17:00:37	289469/289469	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:35%20GMT	https://docs.goodcrypto.app/trading/dca-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/dca-bot.html	(from https://docs.goodcrypto.app/)
17:00:39	519264/519264	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:36%20GMT	https://docs.goodcrypto.app/trading/dca-bot/features-and-setup	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/dca-bot/features-and-setup.html	(from https://docs.goodcrypto.app/)
17:00:39	223747/223747	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:37%20GMT	https://docs.goodcrypto.app/trading/dca-bot/running-the-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/dca-bot/running-the-bot.html	(from https://docs.goodcrypto.app/)
17:00:40	217257/217257	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:38%20GMT	https://docs.goodcrypto.app/trading/dex-screener	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/dex-screener.html	(from https://docs.goodcrypto.app/)
17:00:40	216193/216193	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:38%20GMT	https://docs.goodcrypto.app/trading/order-mechanics	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/order-mechanics.html	(from https://docs.goodcrypto.app/)
17:00:40	216064/216064	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:39%20GMT	https://docs.goodcrypto.app/trading/mev-protection	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/mev-protection.html	(from https://docs.goodcrypto.app/)
17:00:41	216020/216020	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:39%20GMT	https://docs.goodcrypto.app/trading/errors	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/errors.html	(from https://docs.goodcrypto.app/)
17:00:42	215926/215926	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:40%20GMT	https://docs.goodcrypto.app/trading/charts	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/charts.html	(from https://docs.goodcrypto.app/)
17:00:42	216166/216166	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:40%20GMT	https://docs.goodcrypto.app/trading/notifications	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/notifications.html	(from https://docs.goodcrypto.app/)
17:00:43	244681/244681	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:41%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality.html	(from https://docs.goodcrypto.app/)
17:00:43	249505/249505	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:41%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/gems-sniper-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/gems-sniper-bot.html	(from https://docs.goodcrypto.app/)
17:00:44	231207/231207	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:42%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/copy-trading-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/copy-trading-bot.html	(from https://docs.goodcrypto.app/)
17:00:44	218291/218291	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:43%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/grid-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/grid-bot.html	(from https://docs.goodcrypto.app/)
17:00:45	218213/218213	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:43%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/infinity-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/infinity-bot.html	(from https://docs.goodcrypto.app/)
17:00:45	218267/218267	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:44%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/sos-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/sos-bot.html	(from https://docs.goodcrypto.app/)
17:00:46	218301/218301	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:44%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/rebalancer-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/rebalancer-bot.html	(from https://docs.goodcrypto.app/)
17:00:46	218511/218511	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:44%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/gas-in-any-erc20-token	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/gas-in-any-erc20-token.html	(from https://docs.goodcrypto.app/)
17:00:47	218325/218325	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20May%202025%2016:00:45%20GMT	https://docs.goodcrypto.app/trading/upcoming-functionality/gas-saver-bot	C:/My%20Web%20Sites/X1/docs.goodcrypto.app/trading/upcoming-functionality/gas-saver-bot.html	(from https://docs.goodcrypto.app/)
